comment,label
chất_liệu vải mềm mát nhẹ rủ màu_sắc đẹp hình chụp,1
hàng chất_lượng nha chế_độ phun rẻ chất_lượng phun phà phà luôn ưng_ý cảm_ơn cửa_hàng cửa_hàng tâm giấy nhỏ gửi lời cảm_ơn luôn tốt,1
hàng không quảng_cáo bình bị gỉ,0
chuột nhạy phím bấm không tiếng xài mac có_vẻ hơi lag,0
không thơm mùi y_trang mùi xà_bông rửa chén hàng tệ,0
mới dán không rơi_rớt bị nứt nguyên đường dọc màn_hình,0
bình_thường chấp_nhận cước_phí giao hàng hơi cao,0
tạm,1
tương_đối ổn ngồi không êm lắm,1
hàng giao nhanh đóng_gói cẩn_thận đẹp_mắt,1
ghế ok dễ lắp ngồi học bài tốt,1
bao_bì tốt giao hàng nhanh tình_trạng hoàn_hảo giá tốt,1
chất_lượng tốt,1
đèn không kèm theo dây sạc nên lại mua thêm dây sạc,0
giao hàng nhanh đóng_gói kỹ_càng,1
tốt,1
xử_lý đơn hàng chậm giao hàng trễ đóng_gói giao hàng không tốt hộp sản_phẩm không nguyên_vẹn,0
đẹp êm,1
nhỏ_nhẹ tay kết_nối tốt,1
sài ok lắm tiện_lợi đủ sài,1
mua về thay cho con màu xanh tương_tự gần năm dùng click không kêu tiếng im_lặng,1
giao hàng nhanh đứng không đứng ánh_sáng quá tối muốn trả hàng cửa_hàng,0
đặt_hàng hình đèn nhận thì không đèn quá tệ cảm_giác các đang lừa_đảo,0
cửa_hàng đóng_gói thiếu thê nhớ,0
máy nhỏ xinh phun sương mạnh_mẽ tinh_dầu chanh sả thơm lắm đuổi muỗi nghe bà_con cửa_hàng giao hàng nhanh lắm,1
giao hàng sai,0
tốt positive,1
kết_nối chậm lần truy_cập chờ lâu,0
chỉ một từ ngon mua thêm sản_phẩm nữa,1
mua mở bán phút giá không hề giảm,0
yêu thích bản in dễ_thương giao hàng nhanh đóng_gói cẩn_thận thiết_kế dễ_thương chất_lượng cao,1
ghế đẹp ngồi êm,1
tệ,0
đang xài con chuột dây cty thấy vướng_víu chọn mua trời_ơi gọn mượt đâu mới xài nên không biết độ bền đồng_nghiệp xài năm còn chạy tốt,1
cho đồng_hồ pin không hoạt_động túi nhăn_nhúm mỏng_manh về chỗ,0
hợp,1
ghi mua tặng mở ra tuýp không thấy tặng mua lần lần đầu bị bịp tính ra không_những không rẻ còn đắt positive negative lần đầu nhé,0
cá không cá dứa nhé các hàng cá_tra cá ba_sa giá_cả theo đúng loại cá thôi không cá dứa,0
sản_phẩm chất_lượng chất_liệu bền xứng_đáng giá tiền,1
bộ quần_áo mưa đóng_gói cẩn_thận mới nhìn cảm_nhận tương_xứng phù_hợp giá tiền cỡ vừa_vặn đúng theo hướng_dẫn người bán hàng,1
xài mượt cầm tay,1
âm_thanh sống_động đeo êm tai sạc nhanh dùng lâu positive,1
tốt,1
chất_lượng kém,0
dán xong cảm_ứng không không hài_lòng,0
hàng giao tới bị hư mùi hôi kinh_khủng nhắn_tin cho cửa_hàng cửa_hàng không trả_lời gọi điện hotline thì không bắt máy,0
chất_lượng tốt giao hàng nhanh_chóng đóng_gói cẩn_thận nhân_viên giao hàng nhanh_chóng,1
hàng tốt giá rẻ chất_lượng sản_phẩm tuyệt_vời cân chính_xác mua thứ hai hai đểu chính_xác tốt các nên mua ủng_hộ cửa_hàng,1
không thơm mua trực_tiếp cửa_hàng mọi người không nên mua tuy rẻ cửa_hàng nên không thơm,0
phí tiền đừng mua nhé,0
giá thì tốt,1
thiết_kế nói_chung mũ đẹp đều đẹp,1
cửa_hàng giao hàng thiếu quà tặng hay vẫn chuyển bể thùng đơn hàng thất_lạc quà tặng,0
sản_phẩm rât tôt,1
hàng giả nha mọi người xài nước xả bịch hàng thật mua giá bữa thấy cửa_hàng bán giá rẻ mua xài thử thì xui gặp ngay hàng giả bịch hàng thật bao_bì in màu vàng đậm sắc nét nhìn sơ thì thấy khá giống soi kỹ thì màu_sắc hình ng chữ in bắt_chước không giống nước xả thì lấy comfort trắng dùng cho da nhạy_cảm pha loãng,0
mua sản_phẩm đỏ đen lần mua đều không đầu usb kết nối thể kiểm_tra dùm không,1
thiết_kế nói_chung mũ đẹp đều đẹp,1
nhận hàng sản_phẩm đóng_gói cẩn_thận,1
đèn không sáng chuột dùng không êm cho lắm đợt mua con xài êm,0
bao_bì đóng_gói khôn_khéo thông_minh,1
đặt giao thanh_toán tiền giao tức học máu,0
chất_lượng tốt giao hàng nhanh_chóng đóng_gói cẩn_thận nhân_viên giao hàng nhanh_chóng,1
bán hàng không tâm không quan_tâm khách_hàng,0
dùng êm,1
tốt tầm giá,1
hàng xài hàng cũ tạm_thời xài ổn nên không đòi đổi hàng,0
dùng phù_hợp nhu_cầu,1
sữa ngon không ngọt quá để tủ mát đi về uống hợp_lí sản_phẩm chất_lượng cao đáng tin_cậy,1
lần đầu_tiên mua hàng cửa_hàng thật hài_lòng túi đeo chéo đẹp model nữa kèm quà tặng đầy_đủ giá lại rẻ nữa cảm_ơn cửa_hàng thật nhé,1
âm_lượng loa bé không đúng mô_tả,0
hài_lòng,1
sản_phẩm nhìn hình khác hoàn_toàn uổng tiền không biết mua chụp tốt,0
nhận hàng một chai bị trào ra tốt lắm cảm_ơn cửa_hàng ok,1
hàng bị tráo_đổi đầu nối bằng nhựa không sản_phẩm khuyến_mại,0
sử_dụng loại cá hộp thấy ngon ăn cơm cũng ngon bánh_mì cũng ngon mua tiếp để dùng,1
không chắc chắn giá đỡ yếu,0
mở_hàng ra thấy chưa đủ mấy rách cửa_hàng lừa_đảo,0
chán cách làm_việc cửa_hàng,0
bao_bì khác so hình_ảnh cửa_hàng quảng_cáo dễ gây hiểu nhầm,0
quá thất_vọng mua cửa_hàng khác cá dứa chất_lượng tốt cá không giống mua cửa_hàng,0
đèn sáng yếu không giới_thiệu,0
giao hàng nhanh,1
ok tốt dung ngon nhay,1
hàng_không y_như hình buôn_bán không thật_thà,0
click êm phù_hợp làm_việc không muốn ảnh_hưởng người khác,1
đẹp hài_lòng,1
chất_lượng không tốt,0
tay nghe không ôm tai chất_lượng ấm tốt,1
màu đen nhìn xấu quá đen bóng nhìn kì kì,0
đóng_gói kĩ sản_phẩm chất_lượng nhân_viên hỗ_trợ nhiệt_tình điểm cho cửa_hàng nhé,1
hài_lòng,1
vải mềm_mại thoải_mái,1
chất_lượng âm_thanh tốt tầm giá vận_chuyển đóng_gói kỹ_càng,1
nhận hàng nhanh_chóng cửa_hàng đóng_gói cẩn_thận,1
mượt,1
mua về kính không tối các bác cứ trong_veo luôn,0
giao tai nghe bị hư,0
hàng không đạt yêu_cầu bỏ điện_thoại giây sạc điện_thoại thôi cũng rách,0
chất_lượng không tốt,0
sản_phẩm tốt đẹp chất_lượng,1
balo đẹp khá chắc_chắn,1
một sản_phẩm ai cũng_nên,1
không xài,0
giao hàng lâu bị thất_thoát hàng,0
đặt đèn_cảm_ứng không dây giao đèn cắm dây nên bất_tiện dùng,0
giao hơi lâu thông_cảm chắc ảnh_hưởng mùa dịch,1
mũ_bảo_hiểm tuyệt_vời cho chuyến đi xe_máy thoải_mái thời_trang vừa_vặn hoàn_hảo an_toàn xuất_sắc cho các cuộc phiêu_lưu ngoài_trời chất_liệu bền xứng_đáng giá tiền phụ_kiện đầy_đủ,1
sản_phẩm kém chất_lượng,0
hài_lòng,1
không hài_lòng không thấy kiến ăn chết,0
đóng_gói cẩn_thận cửa_hàng_giáo hàng nhanh sản_phẩm tốt,1
xấu tệ,0
giao hàng nhanh nghe đánh_giá xài tốt bền,1
không giống hình_ảnh mô_tả sản_phẩm,0
cầm_chắc tay lực phun mạnh,1
ghế đẹp,1
khoá bướm quá dài không ôm cổ_tay,0
thời_gian giao hàng quá lâu,0
ko kén nồi chạy công_suất thì khá ồn,1
giao thiếu quà tặng không hỗ_trợ gửi quà tặng bổ_sung đánh_giá kém về dịch_vụ kiểm_tra đơn hàng,0
hàng tốt,1
muốn trả sản_phẩm lại đèn khg đứng khg tốt khg cho gửi video quay thôi chú cho đèn đúng lên khg ngã xuống hoài cho trả lại mới mở_hàng ra mah lại chán ghê,0
đèn không sáng lắm không cắm điện trực_tiếp chỉ sạc bất_tiện,0
màu_sắc tươi hình chụp chất_liệu ổn kiểu_dáng đẹp chỉ dây kéo hơi khó kéo xíu,1
sản_phẩm hỏng mùi hôi_thối không_thể sử_dụng,0
cửa_hàng giao hàng nhanh cẩn_thận chất_lượng tốt tuyệt_vời điểm,1
thời_lượng pin điểm,1
ống mềm gấp_khúc không dùng nghĩ cũng sản_xuất ra hàng giao thì lâu thất_vọng,0
nước xã không thơm,0
nhìn nhỏ xinh lắm phun sương mạnh_mẽ hài_lòng cửa_hàng tặng kèm theo chai tinh_dầu sả thơm lắm mà_còn đuổi muỗi nữa,1
sản_phẩm đóng_gói chắc_chắn sữa ngon thơm mua áp xu nên rẻ mua cửa_hàng,1
cân nhỏ gọn mỏng nhẹ đẹp đo_lường cực_kỳ chính_xác lý_tưởng để theo_dõi sức_khoẻ gia_đình,1
ghế_ngồi thoải_mái đẹp,1
chuột đẹp giao nhanh bấm không bị ồn,1
mùi_vị mùi hơi lạ giống để lâu chất bảo_quản,0
đa_năng linh_hoạt,1
sản_phẩm ổn tầm giá đội ngủ chăm_sóc khách_hàng tuyệt_vời nhiệt_tình,1
ok,1
gửi cá thối rữa mang về mở ra miếng cá rữa nát không ăn nhắn_tin trả hàng thì im ru mù_chữ quá tệ mọi người đừng mua,0
đáng tiền cá nhìn ngon bắt_mắt mặn quá không vị ngọt cá luôn,0
cầm tay không tiếng click,1
,1
sản_phẩm móp méo không còn nguyên_vẹn yêu_cầu cửa_hàng đổi lại sản_phẩm,0
đóng_gói quá đẹp,1
chỉ nhận tuýp không thấy tuýp còn lại quá tệ,0
sản_phẩm đúng miêu_tả giao hàng hơi lâu,0
giao nhanh,1
chuột dùng tốt đáng mua,1
xài ổn,1
quá loãng không hàng thật,0
tốt chỉ sáng gốc,1
rẻ so web,1
đẹp ứng đúng quảng_cáo,1
sản_phẩm nguyên seal tem digiword chất_lượng hoàn_thiện tốt độ nhậy cao không ồn,1
bụi,0
giống mô_tả cửa_hàng bán hàng giới_thiệu đúng phù_hợp người già,1
sản_phẩm không thương_hiệu rõ_ràng oem đế đèn quá nóng khả_năng gây cháy nổ cực cao trả lại sản_phẩm,0
check thấy chuột êm,1
giao hàng không đúng sản_phẩm đặt không logo không đèn báo thất_vọng,0
di_chuyển mượt,1
tạo cảm_giác mát lạnh da đầu giúp giảm gàu ngứa da đầu để lại một hương thơm dễ_chịu rửa sạch nói_chung ok,1
sữa siêu ngon luôn uống mấy thùng chưa chán vị sô cô la bạc_hà khá hiếm sữa nên ai mê thì cứ mua loại,1
ko bơm bơm xe_đạp thành mảnh đồ bơm xe không bơm xe_đạp nổi,0
đèn tạm có_vẻ hơi ọp_ẹp xíu,0
giao thiếu hàng quay vd lại gửi cho cửa_hàng thì cửa_hàng bảo có_thể hàng thùng mì yêu_cầu quay lại mở thùng mì mở không thấy,0
chất_lượng ổn mua cho cửa_hàng positive giao hàng nhanh đóng_gói cẩn_thận đúng đơn hàng đặt,1
vòi nhỏ tưới rau thì còn xịt rửa thì cần máy mới lực còn vòi_nước bình_thường thì không xịt sạch nhé,0
hàng kém chất_lượng ko nên mua,0
bếp dủng tốt,1
giá rẻ không ngờ kính để đeo chống bụi xem điện_thoại rõ_ràng phù_hợp người tuổi tiếp_tục mua,1
lừa_đảo khách_hàng quảng_cáo mua combo tính tiền nhận hàng chỉ combo lừa_đảo ai dám quay lại mua hàng nữa,0
sản_phẩm dùng ok,1
mũ đẹp nên mua nha hàng đúng ảnh giá rẻ mới chiếc mũ thì quá tuyệt_vời,1
hơi trầy xíu nói_chung ok,1
hàng đẹp mức giá thì còn ủng_hộ cửa_hàng dài_dài giới_thiệu cho người để mua cảm_ơn cửa_hàng,1
chuột nhấn êm không ra tiếng thích,1
đặt_hàng sai cửa_hàng cũng chả thèm hướng_dẫn thêm người biết rõ các loại cường_lực thì cũng không cần nhắn_tin cho cửa_hàng đặt chống nhìn trộm giao suốt,0
mạnh_mẽ hiệu_quả đa_năng linh_hoạt,1
không thơm mua trực_tiếp cửa_hàng mọi người không nên mua tuy rẻ cửa_hàng nên không thơm,0
hàng chính hãng màu y_như hình thương_hiệu logitech nên yên_tâm,1
đặt loại đèn giá giao loại không đèn lừa_đảo,0
ngon ngon,1
giao hàng nhanh dây hơi yếu không mong_đợi vẫn dùng mọi người cân_nhắc mua,0
đa_năng linh_hoạt,1
hàng tốt nha mọi người giá_như rẻ chất_lượng sản_phẩm tốt mong_đợi luôn,1
nhận hàng nhìn đẹp đầy_đủ phụ_kiện,1
đặc mua sản_phẩm xinh_xắn giá_cả phù_hợp độ bền ổn cám_ơn cửa_hàng,1
hàng chuẩn màu đẹp hàng tặng kèm chỉn_chu giói hàng đẹp,1
tạm để chân ngắn quá người cao trở lên để bị dư chân coi vô tác_dụng,0
đang cần gấp mua now giao sai hàng,0
sản_phẩm tốt đóng_gói cẩn_thận,1
hoàn_hảo để thêm hương_vị cho các món ăn khác nhau,1
ok,1
sản_phẩm đẹp đường may đẹp thoáng mát shipper nhiệt_tình dễ_thương ok nha mọi người,1
mua chục duy_nhất bị lỗi không xài,0
cửa_hàng tư_vấn nhiệt_tình,1
nhìn đồ cũ thì rách tè le,0
hoàn_hảo cho nhu_cầu nấu_ăn,1
cửa_hàng giao hàng hư hôi mở ra ương không ăn nhắn_tin cửa_hàng đọc xong im ru tẩy_chay bán hàng vô đạo_đức,0
sản_phẩm giống mô_tả dễ sử_dụng mới ủi thử đầm cho vợ thấy ok,1
tốt,1
máy dùng tốt mới mua xài máy hơi mùi kiểu mùi điện khét hay xài lần thì bếp nấu nhanh chức_năng recommend nên mua,1
sản_phẩm dùng tốt tháng chưa hỏng,1
kiểu_dáng túi đeo chéo tiện_lợi màu_sắc để lựa_chọn chất_liệu bền chắc_chắn,1
tốt,1
quá tệ hàng dỏm mọi người không nên mua hàng cửa_hàng,0
kính không điện_tử không hoạt_động,0
dịch_vụ giao_tiếp tuyệt_vời từ người bán,1
không ổn nhé sử_dụng đúng bị hư ròi hàng đóng_gói cũng sơ_sài,0
màu xấu kẹp màu vàng thì màu không giống mẫu màu đỏ_đen thì lại càng không,0
chuột nhấn cực êm,1
hàng giao lâu dự_kiến,0
bộ dụng_cụ di_động tiện_lợi nhỏ gọn màu đẹp chức_năng,1
rõ_ràng đơn hàng ghi gói về đếm gói,0
kết_cấu chất_lượng quảng_cáo gội sạch,1
tốt,1
hàng giao bị vỡ không_thể sử_dụng,0
không giữ lạnh nhanh tan,0
đặt_hàng kính chống nhìn trộm giao hàng lại giao suốt tiêu_đề sản_phẩm đằng tới đặt_hàng nẻo,0
đóng_gói kiện hàng không kỹ nên quá_trình vận_chuyển đổ_bể túi bột_giặt ra thùng cảm_thấy bực_mình,0
đầu nối không khớp ống không sử_dụng,0
hàng giả_mạo hương thơm thì nhẹ bọt cảm_giác mát nhẹ phí tiền mua,0
nồi tệ dùng để rán không,0
đẹp giao hàng nhanh,1
chất_liệu dây mềm dễ bị cúp ống,0
chất_liệu kính cường_lực chất_lượng cao,1
thất_vọng dây tiết_diện nhỏ đúng bằng ngón tay út mỏng tựa trái banh mủ chưa dám gắn xài sợ áp_lực nước mạnh tét dây luôn,0
kết_cấu đẹp,1
ghế chắc_chắn sản_phẩm đúng hình hiện_tại đang dùng tốt,1
nhận hàng giao hàng nhanh không biết về lâu_dài như_thế_nào hiện_tại xài thì ổn lắm,1
vất_vả nhận ghế mất thời_gian lắp_ráp,0
dịch_vụ tệ giao hàng chậm trễ phản ánh dịch_vụ chưa fahasa thật_sự quan_tâm xử_lý cho khách_hàng,0
ghế_ngồi êm hài_lòng về sản_phẩm,1
cảm_thấy bị lừa_dối mua hàng quà khuyến_mãi không lại để,0
chất_lượng tốt,1
sản_phẩm bị thiếu mất_giá đỡ không_thể dùng,0
ok,1
giao thiếu hàng,0
nghe cũng tạm ổn bass hơi bluetooth cũng hơi chập_chờn dùng dây thì ổn,1
bộ dao chất_lượng cao cắt sắc chính_xác,1
ghế tạm ổn gây tiếng ồn lớn ngồi im thì không cử_động nhẹ chút kêu cạch cạch to phản_hồi cửa_hàng cửa_hàng không phản_hồi,1
đóng_gói không cẩn_thận bị đổ ra bận nên không muốn đổi trả laii trải_nghiệm tệ,0
hàng dùng ok mở_hàng thấy bị bể ngay chỗ nút bấm không biết vận_chuyển hay bể từ đầu,0
giao hàng nhanh chuột click êm,1
balo dày đẹp hàng chuẩn so giá_như quá tuyệt,1
giao nhanh đầy_đủ đóng_gói kĩ mua lại lần vẫn tốt thời_gian pin chạy lâu ngon bổ rẻ,1
cá thối nhũn bột phản_hồi cửa_hàng phớt_lờ cân_nhắc mua,0
ốp chống tốt không hàng trôi_nổi thị_trường,1
đèn không ổ_cắm chỉ dây cắm usb mua loại ổ_cắm,0
tháng sd thiết_bị liên_tục offline reset thì tới bước cuối bị thời_gian out bỏ không luôn giá mua ezviz xài tốt,0
chất_lượng tốt,1
quà tặng đặt_hàng thì không mua xong đặt lại thì quà tặng không ổn,0
không kèm quà tặng đâu lừa_đảo thôi,0
tắt đèn tối đen còn mở đèn thì nhè hình tóm_lại tẹ không mong_muốn,0
giao hàng chậm không đúng mẫu,0
phần mô_tả ghi mua tặng,0
màn_hình bị lỗi yêu_cầu trả hàng,0
cũng ổn đó nên mua,1
hương thơm lâu_dài suốt để lại một hương thơm dễ_chịu rửa sạch,1
xài ổn đẹp im_lặng tốt,1
sản_phẩm tốt êm nhẹ,1
ghế_ngồi êm ngồi lâu không mỏi lưng phù_hợp để ngồi học làm_việc,1
từng mua thái túi màu trắng thơm nên nay thấy ghi hàng thái đặt mua liền về sử_dụng chất_lượng xa trời vực giống hàng nhái hàng dỏm mùi hăng hăng chả thơm chất_lượng tệ,0
mập_mờ cung_cấp cỡ sản_phẩm,0
dùng ok bấm phím êm hài_lòng sản phầm,1
dây nhìn chắc_chắn sản_phẩm không đúng hình không thương_hiệu sạc không quá tệ,0
chất_lượng kém dùng lâu_dài ảnh_hưởng sức_khoẻ,0
xai tam,0
bình bị nứt bể yêu_cầu bán đổi trả hàng,0
miếng inox đầu rót nước bị cong vênh,0
giao hàng nhanh chất_lượng âm_thanh tai nghe mức chấp_nhận,1
tưởng mua tặng ai_ngờ hộp,0
ủi ok,1
nồi nấu đúng lần đem đi vứt đáy nồi bị lốm_đốm không rửa ra hình,0
nói_chung hàng kém chất_lượng về chỉnh xoay điện_thoại lần đơ không tặng thẻ nhớ giới_thiệu,0
mua lắp máy vẫn rung mạnh vẫ bị xê_dịch không quang cáo giới_thiệu cho sản_phẩm,0
chất_lượng so giá tiền thì vượt_trội cầm tay_không khó_chịu,1
chất_liệu mềm_mại thoải_mái phong_cách thời_thượng,1
nồi đa_năng để nấu chiên hấp chất_liệu nhựa bền_bỉ nhỏ gọn đa_năng,1
giao hàng nhanh dự_kiến chất_lượng bình_thường phù_hợp mức giá giảm khớp nối tay giữ điện_thoại phần dây không chắn chắn lắm,0
ghế êm ngã lưng thoái mái,1
chất_lượng ok còn độ bền thì sử_dụng mới biết,1
gởi hàng đúng quảng_cáo giá rẻ dùng ok giá thì không còn đòi_hỏi thêm,1
tạm mờ không nét tối lắm không nên mua,0
sản_phẩm tốt nghe to rõ pin nghe lâu nói_chung tuyệt_vời nên mua,1
hương thơm lâu_dài suốt để lại một hương thơm dễ_chịu rửa sạch,1
cũng ok không biết bền ko,1
nhận hàng hài_lòng sản_phẩm mới giao nhanh giá ok hộp cá gói quá chời lớp bao chống sốc cửa_hàng kỹ ơi_là kỹ xứng_đáng positive,1
không sạc nhanh mong_muốn,0
cá hôi cực_kì không gửi nổi không sử_dụng bỏ cực_kì tệ,0
thoải_mái phong_cách vừa_vặn hoàn_hảo an_toàn yêu thích bản in dễ_thương,1
sản_phẩm ưng_ý thích,1
